Onset,Offset,MIDI number,Pitch name,Duration,Staff,Measure,Beat in Measure
0.0,0.5,50,D3,0.5,1,0,0.0
0.25,0.5,74,D5,0.25,0,0,0.25
0.5,0.75,76,E5,0.25,0,0,0.5
0.75,1.0,78,F#5,0.25,0,0,0.75
1.0,1.5,62,D4,0.5,1,0,1.0
1.0,1.25,69,A4,0.25,0,0,1.0
1.25,1.5,78,F#5,0.25,0,0,1.25
1.5,1.75,76,E5,0.25,0,0,1.5
1.75,2.0,74,D5,0.25,0,0,1.75
2.0,2.25,81,A5,0.25,0,1,0.0
2.0,2.5,54,F#3,0.5,1,1,0.0
2.25,2.5,74,D5,0.25,0,1,0.25
2.5,2.75,76,E5,0.25,0,1,0.5
2.75,3.0,78,F#5,0.25,0,1,0.75
3.0,3.25,69,A4,0.25,0,1,1.0
3.0,3.5,62,D4,0.5,1,1,1.0
3.25,3.5,78,F#5,0.25,0,1,1.25
3.5,3.75,76,E5,0.25,0,1,1.5
3.75,4.0,74,D5,0.25,0,1,1.75
4.0,4.25,79,G5,0.25,0,2,0.0
4.0,4.5,52,E3,0.5,1,2,0.0
4.25,4.5,76,E5,0.25,0,2,0.25
4.5,4.75,78,F#5,0.25,0,2,0.5
4.75,5.0,79,G5,0.25,0,2,0.75
5.0,5.25,71,B4,0.25,0,2,1.0
5.0,5.5,62,D4,0.5,1,2,1.0
5.25,5.5,74,D5,0.25,0,2,1.25
5.5,5.75,73,C#5,0.25,0,2,1.5
5.75,6.0,71,B4,0.25,0,2,1.75
6.0,6.5,57,A3,0.5,1,3,0.0
6.0,6.25,73,C#5,0.25,0,3,0.0
6.25,6.5,76,E5,0.25,0,3,0.25
6.5,6.75,78,F#5,0.25,0,3,0.5
6.75,7.0,79,G5,0.25,0,3,0.75
7.0,7.5,61,C#4,0.5,1,3,1.0
7.0,7.25,69,A4,0.25,0,3,1.0
7.25,7.5,79,G5,0.25,0,3,1.25
7.5,7.75,78,F#5,0.25,0,3,1.5
7.75,8.0,76,E5,0.25,0,3,1.75
8.0,8.25,78,F#5,0.25,0,4,0.0
8.0,8.5,50,D3,0.5,1,4,0.0
8.25,8.5,74,D5,0.25,0,4,0.25
8.5,8.75,76,E5,0.25,0,4,0.5
8.75,9.0,78,F#5,0.25,0,4,0.75
9.0,9.25,69,A4,0.25,0,4,1.0
9.0,9.5,62,D4,0.5,1,4,1.0
9.25,9.5,73,C#5,0.25,0,4,1.25
9.5,9.75,71,B4,0.25,0,4,1.5
9.75,10.0,69,A4,0.25,0,4,1.75
10.0,10.25,71,B4,0.25,0,5,0.0
10.0,10.5,50,D3,0.5,1,5,0.0
10.25,10.5,74,D5,0.25,0,5,0.25
10.5,10.75,76,E5,0.25,0,5,0.5
10.75,11.0,78,F#5,0.25,0,5,0.75
11.0,11.25,71,B4,0.25,0,5,1.0
11.0,11.5,62,D4,0.5,1,5,1.0
11.25,11.5,81,A5,0.25,0,5,1.25
11.5,11.75,80,G#5,0.25,0,5,1.5
11.75,12.0,78,F#5,0.25,0,5,1.75
12.0,12.25,80,G#5,0.25,0,6,0.0
12.0,12.5,50,D3,0.5,1,6,0.0
12.25,12.5,76,E5,0.25,0,6,0.25
12.5,12.75,78,F#5,0.25,0,6,0.5
12.75,13.0,80,G#5,0.25,0,6,0.75
13.0,13.5,56,G#3,0.5,1,6,1.0
13.0,13.25,71,B4,0.25,0,6,1.0
13.25,13.5,74,D5,0.25,0,6,1.25
13.5,13.75,73,C#5,0.25,0,6,1.5
13.75,14.0,71,B4,0.25,0,6,1.75
14.0,14.5,49,C#3,0.5,1,7,0.0
14.0,14.25,69,A4,0.25,0,7,0.0
14.25,14.5,73,C#5,0.25,0,7,0.25
14.5,14.75,74,D5,0.25,0,7,0.5
14.75,15.0,76,E5,0.25,0,7,0.75
15.0,15.5,57,A3,0.5,1,7,1.0
15.0,15.25,66,F#4,0.25,0,7,1.0
15.25,15.5,76,E5,0.25,0,7,1.25
15.5,15.75,74,D5,0.25,0,7,1.5
15.75,16.0,73,C#5,0.25,0,7,1.75
16.0,16.25,74,D5,0.25,0,8,0.0
16.0,16.5,47,B2,0.5,1,8,0.0
16.25,16.5,71,B4,0.25,0,8,0.25
16.5,16.75,73,C#5,0.25,0,8,0.5
