Onset,Offset,MIDI number,Pitch name,Duration,Staff,Measure,Beat in Measure
0.0,0.75,73,C#5,0.75,0,0,0.0
0.0,0.75,57,A3,0.75,1,0,0.0
0.0,1.0,64,E4,1.0,1,0,0.0
0.75,1.0,74,D5,0.25,0,0,0.75
0.75,1.0,59,B3,0.25,1,0,0.75
1.0,1.5,64,E4,0.5,1,0,1.0
1.0,1.5,57,A3,0.5,1,0,1.0
1.0,1.5,73,C#5,0.5,0,0,1.0
1.5,2.5,76,E5,1.0,0,0,1.5
1.5,2.5,64,E4,1.0,1,0,1.5
1.5,2.5,61,C#4,1.0,1,0,1.5
2.5,3.0,61,C#4,0.5,1,0,2.5
2.5,3.0,76,E5,0.5,0,0,2.5
2.5,3.0,64,E4,0.5,1,0,2.5
3.0,3.75,71,B4,0.75,0,1,0.0
3.0,4.0,64,E4,1.0,1,1,0.0
3.0,3.75,56,G#3,0.75,1,1,0.0
3.75,4.0,57,A3,0.25,1,1,0.75
3.75,4.0,73,C#5,0.25,0,1,0.75
4.0,4.5,71,B4,0.5,0,1,1.0
4.0,4.5,56,G#3,0.5,1,1,1.0
4.0,4.5,64,E4,0.5,1,1,1.0
4.5,5.5,74,D5,1.0,0,1,1.5
4.5,5.5,59,B3,1.0,1,1,1.5
4.5,5.5,64,E4,1.0,1,1,1.5
5.5,6.0,74,D5,0.5,0,1,2.5
5.5,6.0,59,B3,0.5,1,1,2.5
5.5,6.0,64,E4,0.5,1,1,2.5
6.0,7.0,54,F#3,1.0,1,2,0.0
6.0,7.0,69,A4,1.0,0,2,0.0
6.0,7.0,64,E4,1.0,1,2,0.0
7.0,7.5,64,E4,0.5,1,2,1.0
7.0,7.5,54,F#3,0.5,1,2,1.0
7.0,7.5,69,A4,0.5,0,2,1.0
7.5,8.5,64,E4,1.0,1,2,1.5
7.5,8.5,56,G#3,1.0,1,2,1.5
7.5,8.5,71,B4,1.0,0,2,1.5
8.5,9.0,64,E4,0.5,1,2,2.5
8.5,9.0,56,G#3,0.5,1,2,2.5
8.5,9.0,71,B4,0.5,0,2,2.5
9.0,10.0,57,A3,1.0,1,3,0.0
9.0,10.0,64,E4,1.0,1,3,0.0
9.0,10.0,73,C#5,1.0,0,3,0.0
10.0,10.5,50,D3,0.5,1,3,1.0
10.0,10.25,76,E5,0.25,0,3,1.0
10.0,10.5,71,B4,0.5,0,3,1.0
10.25,10.5,74,D5,0.25,0,3,1.25
10.5,12.0,52,E3,1.5,1,3,1.5
10.5,11.5,69,A4,1.0,0,3,1.5
10.5,11.5,73,C#5,1.0,0,3,1.5
11.5,12.0,68,G#4,0.5,0,3,2.5
11.5,12.0,71,B4,0.5,0,3,2.5
12.0,12.75,57,A3,0.75,1,4,0.0
12.0,13.0,64,E4,1.0,1,4,0.0
12.0,12.75,73,C#5,0.75,0,4,0.0
12.75,13.0,59,B3,0.25,1,4,0.75
12.75,13.0,74,D5,0.25,0,4,0.75
13.0,13.5,73,C#5,0.5,0,4,1.0
13.0,13.5,57,A3,0.5,1,4,1.0
13.0,13.5,64,E4,0.5,1,4,1.0
13.5,14.5,61,C#4,1.0,1,4,1.5
13.5,14.5,64,E4,1.0,1,4,1.5
13.5,14.5,76,E5,1.0,0,4,1.5
14.5,15.0,64,E4,0.5,1,4,2.5
14.5,15.0,76,E5,0.5,0,4,2.5
14.5,15.0,61,C#4,0.5,1,4,2.5
15.0,15.75,71,B4,0.75,0,5,0.0
15.0,16.0,64,E4,1.0,1,5,0.0
15.0,15.75,56,G#3,0.75,1,5,0.0
15.75,16.0,73,C#5,0.25,0,5,0.75
15.75,16.0,57,A3,0.25,1,5,0.75
16.0,16.5,71,B4,0.5,0,5,1.0
16.0,16.5,56,G#3,0.5,1,5,1.0
16.0,16.5,64,E4,0.5,1,5,1.0
16.5,17.5,74,D5,1.0,0,5,1.5
16.5,17.5,64,E4,1.0,1,5,1.5
16.5,17.5,59,B3,1.0,1,5,1.5
17.5,18.0,64,E4,0.5,1,5,2.5
17.5,18.0,74,D5,0.5,0,5,2.5
17.5,18.0,59,B3,0.5,1,5,2.5
18.0,19.0,69,A4,1.0,0,6,0.0
18.0,19.0,54,F#3,1.0,1,6,0.0
18.0,19.0,64,E4,1.0,1,6,0.0
19.0,19.5,56,G#3,0.5,1,6,1.0
19.0,19.5,64,E4,0.5,1,6,1.0
19.0,19.5,71,B4,0.5,0,6,1.0
19.5,20.5,64,E4,1.0,1,6,1.5
19.5,20.5,57,A3,1.0,1,6,1.5
19.5,20.5,73,C#5,1.0,0,6,1.5
20.5,21.0,50,D3,0.5,1,6,2.5
20.5,21.0,71,B4,0.5,0,6,2.5
20.5,21.0,74,D5,0.5,0,6,2.5
20.5,21.0,66,F#4,0.5,0,6,2.5
21.0,22.0,64,E4,1.0,0,7,0.0
21.0,22.0,52,E3,1.0,1,7,0.0
21.0,22.0,69,A4,1.0,0,7,0.0
21.0,22.0,73,C#5,1.0,0,7,0.0
22.0,22.5,40,E2,0.5,1,7,1.0
22.0,22.5,62,D4,0.5,0,7,1.0
22.0,22.5,64,E4,0.5,0,7,1.0
22.0,22.5,68,G#4,0.5,0,7,1.0
22.0,22.5,71,B4,0.5,0,7,1.0
22.5,23.5,61,C#4,1.0,0,7,1.5
22.5,23.5,45,A2,1.0,1,7,1.5
22.5,23.5,69,A4,1.0,0,7,1.5
22.5,23.5,64,E4,1.0,0,7,1.5
24.0,24.5,57,A3,0.5,1,8,0.0
24.0,24.75,76,E5,0.75,0,8,0.0
24.5,25.0,61,C#4,0.5,1,8,0.5
24.75,25.0,78,F#5,0.25,0,8,0.75
25.0,25.5,64,E4,0.5,1,8,1.0
25.0,25.5,76,E5,0.5,0,8,1.0
25.5,26.0,57,A3,0.5,1,8,1.5
25.5,26.5,78,F#5,1.0,0,8,1.5
26.0,26.5,62,D4,0.5,1,8,2.0
26.5,27.0,66,F#4,0.5,1,8,2.5
26.5,27.0,78,F#5,0.5,0,8,2.5
27.0,27.75,81,A5,0.75,0,9,0.0
27.0,27.5,57,A3,0.5,1,9,0.0
27.5,28.0,62,D4,0.5,1,9,0.5
27.75,28.0,80,G#5,0.25,0,9,0.75
28.0,28.5,78,F#5,0.5,0,9,1.0
28.0,28.5,66,F#4,0.5,1,9,1.0
28.5,29.0,78,F#5,0.5,0,9,1.5
28.5,29.0,57,A3,0.5,1,9,1.5
29.0,29.5,76,E5,0.5,0,9,2.0
29.0,29.5,61,C#4,0.5,1,9,2.0
29.5,30.0,76,E5,0.5,0,9,2.5
29.5,30.0,64,E4,0.5,1,9,2.5
30.0,31.0,61,C#4,1.0,1,10,0.0
30.0,31.0,57,A3,1.0,1,10,0.0
30.0,30.5,76,E5,0.5,0,10,0.0
30.5,31.0,73,C#5,0.5,0,10,0.5
31.0,31.5,69,A4,0.5,0,10,1.0
31.5,32.5,62,D4,1.0,1,10,1.5
31.5,32.5,56,G#3,1.0,1,10,1.5
31.5,32.0,76,E5,0.5,0,10,1.5
32.0,32.5,74,D5,0.5,0,10,2.0
32.5,33.0,71,B4,0.5,0,10,2.5
33.0,34.0,61,C#4,1.0,1,11,0.0
33.0,33.5,76,E5,0.5,0,11,0.0
33.0,34.0,57,A3,1.0,1,11,0.0
33.5,34.0,73,C#5,0.5,0,11,0.5
34.0,34.5,69,A4,0.5,0,11,1.0
34.0,34.5,54,F#3,0.5,1,11,1.0
34.0,34.5,63,D#4,0.5,1,11,1.0
34.5,35.5,69,A4,1.0,0,11,1.5
34.5,35.5,73,C#5,1.0,0,11,1.5
34.5,36.0,64,E4,1.5,1,11,1.5
34.5,36.0,52,E3,1.5,1,11,1.5
35.5,36.0,68,G#4,0.5,0,11,2.5
35.5,36.0,71,B4,0.5,0,11,2.5
36.0,36.75,73,C#5,0.75,0,12,0.0
36.0,37.0,64,E4,1.0,1,12,0.0
36.0,36.75,57,A3,0.75,1,12,0.0
36.75,37.0,74,D5,0.25,0,12,0.75
36.75,37.0,59,B3,0.25,1,12,0.75
37.0,37.5,73,C#5,0.5,0,12,1.0
37.0,37.5,57,A3,0.5,1,12,1.0
37.0,37.5,64,E4,0.5,1,12,1.0
37.5,38.5,61,C#4,1.0,1,12,1.5
37.5,38.5,64,E4,1.0,1,12,1.5
37.5,38.5,76,E5,1.0,0,12,1.5
38.5,39.0,61,C#4,0.5,1,12,2.5
38.5,39.0,64,E4,0.5,1,12,2.5
38.5,39.0,76,E5,0.5,0,12,2.5
39.0,39.75,56,G#3,0.75,1,13,0.0
