Onset,Offset,MIDI number,Pitch name,Duration,Staff,Measure,Beat in Measure
0.0,0.5,48,C3,0.5,1,0,0.0
0.0,0.5,52,E3,0.5,1,0,0.0
0.0,0.5,36,C2,0.5,1,0,0.0
0.5,1.0,43,G2,0.5,1,0,0.5
0.5,1.0,48,C3,0.5,1,0,0.5
0.5,1.0,52,E3,0.5,1,0,0.5
0.5,1.0,36,C2,0.5,1,0,0.5
1.0,1.5,48,C3,0.5,1,0,1.0
1.0,1.5,52,E3,0.5,1,0,1.0
1.0,1.5,36,C2,0.5,1,0,1.0
1.0,1.5,43,G2,0.5,1,0,1.0
1.5,2.0,52,E3,0.5,1,0,1.5
1.5,2.0,36,C2,0.5,1,0,1.5
1.5,2.0,43,G2,0.5,1,0,1.5
1.5,2.0,48,C3,0.5,1,0,1.5
2.0,2.5,43,G2,0.5,1,0,2.0
2.0,2.5,48,C3,0.5,1,0,2.0
2.0,2.5,52,E3,0.5,1,0,2.0
2.0,2.5,36,C2,0.5,1,0,2.0
2.5,3.0,43,G2,0.5,1,0,2.5
2.5,3.0,36,C2,0.5,1,0,2.5
2.5,3.0,48,C3,0.5,1,0,2.5
2.5,3.0,52,E3,0.5,1,0,2.5
3.0,3.5,48,C3,0.5,1,0,3.0
3.0,3.5,52,E3,0.5,1,0,3.0
3.0,3.5,36,C2,0.5,1,0,3.0
3.0,3.5,43,G2,0.5,1,0,3.0
3.5,4.0,48,C3,0.5,1,0,3.5
3.5,4.0,52,E3,0.5,1,0,3.5
3.5,4.0,36,C2,0.5,1,0,3.5
3.5,4.0,43,G2,0.5,1,0,3.5
4.0,4.5,43,G2,0.5,1,1,0.0
4.0,4.5,48,C3,0.5,1,1,0.0
4.0,4.5,52,E3,0.5,1,1,0.0
4.0,4.5,36,C2,0.5,1,1,0.0
4.5,5.0,48,C3,0.5,1,1,0.5
4.5,5.0,52,E3,0.5,1,1,0.5
4.5,5.0,36,C2,0.5,1,1,0.5
4.5,5.0,43,G2,0.5,1,1,0.5
5.0,5.5,48,C3,0.5,1,1,1.0
5.0,5.5,52,E3,0.5,1,1,1.0
5.0,5.5,36,C2,0.5,1,1,1.0
5.0,5.5,43,G2,0.5,1,1,1.0
5.5,6.0,52,E3,0.5,1,1,1.5
5.5,6.0,36,C2,0.5,1,1,1.5
5.5,6.0,43,G2,0.5,1,1,1.5
5.5,6.0,48,C3,0.5,1,1,1.5
6.0,6.5,48,C3,0.5,1,1,2.0
6.0,6.5,52,E3,0.5,1,1,2.0
6.0,6.5,36,C2,0.5,1,1,2.0
6.0,6.5,43,G2,0.5,1,1,2.0
6.5,7.0,43,G2,0.5,1,1,2.5
6.5,7.0,54,F#3,0.5,1,1,2.5
6.5,7.0,50,D3,0.5,1,1,2.5
6.5,7.0,36,C2,0.5,1,1,2.5
7.0,7.5,50,D3,0.5,1,1,3.0
7.0,7.5,54,F#3,0.5,1,1,3.0
7.0,7.5,36,C2,0.5,1,1,3.0
7.0,7.5,45,A2,0.5,1,1,3.0
7.5,9.0,50,D3,1.5,1,1,3.5
7.5,9.0,55,G3,1.5,1,1,3.5
7.5,8.0,45,A2,0.5,1,1,3.5
7.5,8.0,36,C2,0.5,1,1,3.5
8.0,8.5,43,G2,0.5,1,2,0.0
8.0,8.5,35,B1,0.5,1,2,0.0
8.5,9.0,35,B1,0.5,1,2,0.5
8.5,9.0,43,G2,0.5,1,2,0.5
9.0,9.5,35,B1,0.5,1,2,1.0
9.0,9.25,59,B3,0.25,1,2,1.0
9.0,9.5,43,G2,0.5,1,2,1.0
9.25,9.5,57,A3,0.25,1,2,1.25
9.5,10.0,55,G3,0.5,1,2,1.5
9.5,10.0,35,B1,0.5,1,2,1.5
9.5,10.0,43,G2,0.5,1,2,1.5
10.0,10.5,43,G2,0.5,1,2,2.0
10.0,10.5,35,B1,0.5,1,2,2.0
10.5,11.0,35,B1,0.5,1,2,2.5
10.5,11.0,43,G2,0.5,1,2,2.5
11.0,11.5,35,B1,0.5,1,2,3.0
11.0,11.5,43,G2,0.5,1,2,3.0
11.5,12.0,35,B1,0.5,1,2,3.5
11.5,12.0,43,G2,0.5,1,2,3.5
12.0,12.5,35,B1,0.5,1,3,0.0
12.0,12.5,43,G2,0.5,1,3,0.0
12.0,13.25,86,D6,1.25,0,3,0.0
12.5,13.0,35,B1,0.5,1,3,0.5
12.5,13.0,43,G2,0.5,1,3,0.5
13.0,13.5,35,B1,0.5,1,3,1.0
13.0,13.5,43,G2,0.5,1,3,1.0
13.25,13.5,84,C6,0.25,0,3,1.25
13.5,13.75,83,B5,0.25,0,3,1.5
13.5,14.0,35,B1,0.5,1,3,1.5
13.5,14.0,43,G2,0.5,1,3,1.5
13.75,14.0,81,A5,0.25,0,3,1.75
14.0,15.0,79,G5,1.0,0,3,2.0
14.0,14.5,35,B1,0.5,1,3,2.0
14.0,14.5,43,G2,0.5,1,3,2.0
14.5,15.0,43,G2,0.5,1,3,2.5
14.5,15.0,35,B1,0.5,1,3,2.5
15.0,15.5,43,G2,0.5,1,3,3.0
15.0,15.5,35,B1,0.5,1,3,3.0
15.5,16.0,35,B1,0.5,1,3,3.5
15.5,16.0,43,G2,0.5,1,3,3.5
16.0,16.5,46,A#2,0.5,1,4,0.0
16.0,16.5,50,D3,0.5,1,4,0.0
16.0,16.5,34,A#1,0.5,1,4,0.0
16.0,16.5,41,F2,0.5,1,4,0.0
16.5,17.0,46,A#2,0.5,1,4,0.5
16.5,17.0,50,D3,0.5,1,4,0.5
16.5,17.0,34,A#1,0.5,1,4,0.5
16.5,17.0,41,F2,0.5,1,4,0.5
17.0,17.5,50,D3,0.5,1,4,1.0
17.0,17.5,46,A#2,0.5,1,4,1.0
17.0,17.5,41,F2,0.5,1,4,1.0
17.0,17.5,34,A#1,0.5,1,4,1.0
17.5,18.0,46,A#2,0.5,1,4,1.5
17.5,18.0,41,F2,0.5,1,4,1.5
17.5,18.0,34,A#1,0.5,1,4,1.5
17.5,18.0,50,D3,0.5,1,4,1.5
18.0,18.5,46,A#2,0.5,1,4,2.0
18.0,18.5,50,D3,0.5,1,4,2.0
18.0,18.5,34,A#1,0.5,1,4,2.0
18.0,18.5,41,F2,0.5,1,4,2.0
18.5,19.0,46,A#2,0.5,1,4,2.5
18.5,19.0,50,D3,0.5,1,4,2.5
18.5,19.0,34,A#1,0.5,1,4,2.5
18.5,19.0,41,F2,0.5,1,4,2.5
19.0,19.5,46,A#2,0.5,1,4,3.0
19.0,19.5,50,D3,0.5,1,4,3.0
19.0,19.5,34,A#1,0.5,1,4,3.0
19.0,19.5,41,F2,0.5,1,4,3.0
19.5,20.0,41,F2,0.5,1,4,3.5
19.5,20.0,34,A#1,0.5,1,4,3.5
